,0
76,"id: 2237431, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
77,"id: 2237733, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
78,"id: 2238035, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
79,"id: 2238337, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
80,"id: 2238639, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
81,"id: 2238941, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
82,"id: 2239243, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
83,"id: 2239545, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
84,"id: 2239847, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
85,"id: 2240149, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
86,"id: 2240451, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
87,"id: 2240753, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
88,"id: 2241055, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
89,"id: 2241357, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
90,"id: 2241659, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
91,"id: 2241961, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
92,"id: 2242263, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
93,"id: 2242565, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
94,"id: 2242867, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
95,"id: 2243169, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
96,"id: 2243471, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
97,"id: 2243773, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
98,"id: 2244075, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
