,0
64,"id: 2233806, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
65,"id: 2234108, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
66,"id: 2234410, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
67,"id: 2234712, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
68,"id: 2235014, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
69,"id: 2235316, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
70,"id: 2235618, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
71,"id: 2235920, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
72,"id: 2236222, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
73,"id: 2236524, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
74,"id: 2236826, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
75,"id: 2237128, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
76,"id: 2237430, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
77,"id: 2237732, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
78,"id: 2238034, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
79,"id: 2238336, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
80,"id: 2238638, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
81,"id: 2238940, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
82,"id: 2239242, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
83,"id: 2239544, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
84,"id: 2239846, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
85,"id: 2240148, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
86,"id: 2240450, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
87,"id: 2240752, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
88,"id: 2241054, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
89,"id: 2241356, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
90,"id: 2241658, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
91,"id: 2241960, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
92,"id: 2242262, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
93,"id: 2242564, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
94,"id: 2242866, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
95,"id: 2243168, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
96,"id: 2243470, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
97,"id: 2243772, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
98,"id: 2244074, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
99,"id: 2244376, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
100,"id: 2244678, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
101,"id: 2244980, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
102,"id: 2245282, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
103,"id: 2245584, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
104,"id: 2245886, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
105,"id: 2246188, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
106,"id: 2246490, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
107,"id: 2246792, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
108,"id: 2247094, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
109,"id: 2247396, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
110,"id: 2247698, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
111,"id: 2248000, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
112,"id: 2248302, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
113,"id: 2248604, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
114,"id: 2248906, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
115,"id: 2249208, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
116,"id: 2249510, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
117,"id: 2249812, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
118,"id: 2250114, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
119,"id: 2250416, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
120,"id: 2250718, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
